cluster,gene,auc,power
C1,GAS2L3,0.914,0.827
C1,NEK2,0.9,0.8
C1,KIF20A,0.932,0.865
C1,PIF1,0.841,0.683
C1,NDE1,0.846,0.691
C1,CEP55,0.82,0.64
C1,FAM72B,0.704,0.409
C1,KIF14,0.903,0.805
C1,GTSE1,0.877,0.754
C1,SGOL2,0.895,0.789
C1,CCNF,0.89,0.78
C1,FAM72A,0.621,0.243
C1,CCNB2,0.933,0.866
C1,CDCA8,0.925,0.851
C1,CDCA3,0.873,0.746
C1,BORA,0.828,0.657
C1,KIF4B,0.88,0.76
C1,CXXC4,0.738,0.477
C1,CDCA2,0.901,0.801
C1,BUB1,0.902,0.803
C1,ARHGAP11B,0.828,0.656
C1,CDC25B,0.767,0.535
C1,KIF2C,0.899,0.799
C1,GPSM2,0.835,0.669
C1,NUF2,0.903,0.805
C1,HMMR,0.895,0.79
C1,CENPE,0.907,0.815
C1,CDC25C,0.881,0.761
C1,EFNB2,0.479,0.043
C1,CNTNAP2,0.404,0.193
C1,DTL,0.607,0.214
C1,WDR76,0.437,0.126
C1,NME1,0.575,0.15
C1,FABP5,0.525,0.05
C1,MCM3,0.621,0.241
C1,PPIA,0.57,0.14
C1,NGFRAP1,0.487,0.025
C1,ANLN,0.829,0.659
C1,KIF23,0.867,0.735
C1,PBK,0.861,0.722
C1,RAD21,0.799,0.597
C1,NUBP2,0.572,0.143
C1,FLYWCH2,0.578,0.156
C1,RCN3,0.497,0.007
C1,C19orf60,0.58,0.159
C1,TTYH3,0.516,0.032
C1,AP2S1,0.551,0.102
C1,MRPL12,0.571,0.141
C1,DRAP1,0.555,0.11
C1,C9orf142,0.539,0.079
C1,GPAA1,0.573,0.146
C1,LAMA4,0.476,0.048
C1,IER2,0.488,0.025
C1,ALKBH7,0.692,0.385
C1,BAD,0.572,0.145
C1,C20orf27,0.665,0.331
C1,CTSD,0.543,0.086
C1,H2AFY2,0.676,0.353
C1,MCM2,0.589,0.179
C1,TUBB3,0.575,0.151
C1,MRPL41,0.618,0.235
C1,UNG,0.486,0.029
C1,EIF3F,0.635,0.269
C1,FLNA,0.626,0.253
C1,PDLIM7,0.685,0.371
C1,PCBP4,0.627,0.254
C1,MRPS26,0.547,0.094
C1,JUNB,0.465,0.07
C1,DBN1,0.637,0.273
C1,SNRPB,0.72,0.441
C1,MZT2B,0.626,0.251
C1,FAM195B,0.575,0.15
C1,C7orf50,0.634,0.268
C1,CYB5R3,0.585,0.169
C1,CCND1,0.716,0.432
C1,C9orf16,0.592,0.184
C1,PFN1,0.561,0.122
C1,LIMD2,0.603,0.207
C1,COPE,0.582,0.164
C1,SCAND1,0.574,0.147
C1,CCDC124,0.667,0.335
C1,POTEE,0.582,0.163
C1,POTEJ,0.547,0.094
C1,MEIS1,0.693,0.387
C1,ZFHX3,0.644,0.288
C1,SRSF6,0.456,0.089
C1,DERA,0.616,0.233
C1,CLSPN,0.656,0.312
C1,UHRF1,0.599,0.199
C1,EBF3,0.503,0.007
C1,S100B,0.472,0.055
C1,CCDC30,0.574,0.149
C1,MLF2,0.591,0.183
C1,PPP1R10,0.607,0.215
C1,ARF1,0.543,0.087
C1,TRMT112,0.583,0.167
C1,APOL2,0.492,0.016
C1,NDUFS8,0.544,0.087
C1,MAP1LC3B2,0.524,0.049
C1,HK2,0.572,0.143
C1,WLS,0.533,0.067
C1,ATPIF1,0.566,0.133
C1,CIB1,0.578,0.156
C1,PGAM1,0.529,0.059
C1,CALM3,0.58,0.16
C1,TTYH1,0.718,0.436
C1,PKM,0.576,0.152
C1,BNIP3,0.52,0.04
C1,CDKN1A,0.485,0.031
C1,ALDOA,0.495,0.01
C1,SNAPC1,0.622,0.244
C1,WNT8B,0.542,0.084
C1,UQCR11,0.442,0.116
C1,PGK1,0.554,0.108
C1,TPBG,0.572,0.145
C1,SCD,0.485,0.029
C1,GUK1,0.539,0.077
C1,ATP1B2,0.361,0.278
C1,ZIC2,0.511,0.023
C1,PIFO,0.501,0.002
C1,UBBP4,0.569,0.137
C1,MAF,0.544,0.088
C1,CTGF,0.575,0.15
C1,GJA1,0.658,0.316
C1,MYL6,0.454,0.092
C1,NELL2,0.666,0.332
C1,ID3,0.665,0.33
C1,LPHN3,0.611,0.222
C1,IRS1,0.532,0.064
C1,C1orf168,0.479,0.043
C1,CTNNB1,0.609,0.217
C1,AXIN2,0.545,0.089
C1,SLIT2,0.608,0.216
C1,LRRN2,0.478,0.045
C1,NR2F2,0.528,0.056
C1,SLIT3,0.422,0.155
C1,DMD,0.535,0.069
C1,LRRIQ1,0.598,0.197
C1,SH3BGRL,0.651,0.301
C1,C6orf118,0.537,0.074
C1,COX6A1,0.47,0.06
C1,SPARC,0.547,0.095
C1,RSPO1,0.626,0.251
C1,HNRNPL,0.587,0.173
C1,APCDD1,0.564,0.129
C1,MARCKS,0.656,0.312
C1,HSBP1,0.681,0.362
C1,SULF2,0.488,0.024
C1,SLC7A8,0.468,0.064
C1,NR2F1,0.532,0.064
C1,CDH2,0.622,0.245
C1,CDK11A,0.594,0.188
C1,AEN,0.65,0.301
C1,DDIT4,0.625,0.251
C1,ERO1L,0.445,0.111
C1,EIF4EBP1,0.56,0.121
C1,ADM,0.493,0.014
C1,PGAM4,0.485,0.03
C1,GNL3,0.483,0.035
C1,FLRT2,0.448,0.104
C1,PDCD6,0.537,0.073
C1,GOLGA8A,0.46,0.08
C1,POLE2,0.612,0.224
C1,EIF4A1,0.534,0.069
C1,MFNG,0.473,0.054
C1,TPI1,0.446,0.108
C1,RAN,0.758,0.516
C1,DDIT3,0.384,0.231
