cluster,gene,auc,power
C3,HMGN2,0.755,0.51
C3,CENPF,0.671,0.342
C3,BIRC5,0.706,0.412
C3,CENPU,0.772,0.544
C3,ANP32E,0.773,0.546
C3,NUSAP1,0.709,0.418
C3,CKS1B,0.714,0.427
C3,HMGB2,0.739,0.478
C3,TUBA1A,0.46,0.079
C3,CKB,0.46,0.081
C3,SOX11,0.393,0.214
C3,TUBB2B,0.429,0.143
C3,PTBP2,0.488,0.025
C3,DPYSL2,0.535,0.069
C3,MAP1B,0.416,0.168
C3,DCX,0.37,0.26
C3,P4HA2,0.521,0.041
C3,MMP2,0.501,0.003
C3,TIMP1,0.602,0.205
C3,KDELR3,0.445,0.111
C3,MGP,0.459,0.083
C3,FXYD5,0.499,0.002
C3,SDC4,0.55,0.1
C3,IFITM2,0.613,0.225
C3,PDGFRB,0.411,0.178
C3,PPIC,0.513,0.027
C3,IFITM3,0.676,0.352
C3,TGFBI,0.45,0.1
C3,TPM2,0.458,0.083
C3,FTL,0.474,0.053
C3,KRT8,0.431,0.137
C3,BNC2,0.452,0.095
C3,GXYLT2,0.548,0.096
C3,OLFML3,0.48,0.039
C3,MME,0.502,0.004
C3,RBMS3,0.469,0.062
C3,ANXA2,0.602,0.204
C3,LGALS1,0.424,0.151
C3,SERPINB9,0.427,0.146
C3,COL5A2,0.467,0.066
C3,COL21A1,0.441,0.118
C3,SNAI2,0.422,0.156
C3,S100A10,0.446,0.109
C3,HAS2,0.422,0.157
C3,PITX2,0.45,0.099
C3,CRISPLD2,0.456,0.087
C3,IFITM1,0.504,0.008
C3,DDR2,0.432,0.137
C3,POSTN,0.402,0.197
C3,COL5A1,0.453,0.094
C3,MFAP4,0.423,0.154
C3,COL6A3,0.406,0.189
C3,LUM,0.452,0.095
C3,COL1A2,0.367,0.267
C3,DCN,0.395,0.211
C3,COL1A1,0.4,0.2
C3,COL3A1,0.409,0.183
C3,S100A11,0.437,0.126
C3,MTRNR2L12,0.731,0.462
C3,NNAT,0.569,0.138
C3,PRTG,0.8,0.6
C3,BCAT1,0.677,0.353
C3,CXADR,0.623,0.247
C3,EZR,0.414,0.171
C3,NDUFA6,0.712,0.425
C3,MEGF10,0.566,0.132
C3,STK17B,0.496,0.007
C3,SYNE2,0.52,0.04
C3,CLIC1,0.647,0.294
C3,APOLD1,0.516,0.031
C3,POU3F3,0.554,0.108
C3,ID4,0.51,0.02
C3,CA12,0.459,0.082
C3,FHL2,0.45,0.1
C3,FABP7,0.544,0.087
C3,H2AFX,0.604,0.207
C3,MASP1,0.515,0.029
C3,KIAA1217,0.504,0.008
C3,NTRK3,0.409,0.183
C3,MEIS2,0.409,0.181
C3,CSNK2B,0.659,0.318
C3,SLC1A3,0.518,0.036
C3,SEMA5A,0.412,0.176
C3,NBPF14,0.506,0.012
C3,IL33,0.425,0.15
C3,DMRTA2,0.525,0.049
C3,NBPF10,0.549,0.098
C3,NDUFA3,0.623,0.245
C3,BCL11A,0.28,0.441
C3,DDX39B,0.543,0.085
C3,FOXG1,0.373,0.255
C3,SOX9,0.553,0.106
C3,LHX2,0.404,0.193
C3,TCF4,0.391,0.217
C3,DOK5,0.422,0.156
C3,MPPED2,0.432,0.137
C3,GLI3,0.565,0.13
C3,SFRP1,0.49,0.02
C3,HEY1,0.319,0.361
C3,HES1,0.539,0.078
C3,TFAP2C,0.438,0.124
C3,TUBB,0.743,0.487
C3,CREB5,0.467,0.066
C3,C1orf61,0.365,0.27
C3,IFI44L,0.399,0.203
C3,NFIA,0.302,0.397
C3,PHLDA1,0.288,0.424
C3,NFIB,0.294,0.413
C3,TMSB10,0.388,0.225
C3,CALM2,0.495,0.01
C3,CFL1,0.465,0.069
C3,TUBA1C,0.634,0.269
C3,STMN1,0.455,0.09
C3,ARL6IP1,0.509,0.019
C3,EIF5A,0.57,0.139
C3,KNSTRN,0.558,0.116
C3,YWHAZ,0.424,0.152
C3,ACTG1,0.411,0.178
C3,THY1,0.489,0.023
C3,PSRC1,0.501,0.002
C3,PLK1,0.527,0.053
C3,TUBB4B,0.583,0.166
C3,TUBB2A,0.419,0.162
C3,AURKA,0.536,0.071
C3,FTH1,0.329,0.342
C3,CCNA2,0.625,0.251
C3,CDC20,0.585,0.17
C3,PTMS,0.469,0.062
C3,HN1,0.406,0.187
C3,DYNLL1,0.589,0.178
C3,YWHAB,0.617,0.234
C3,TROAP,0.616,0.233
C3,CCNB1,0.61,0.219
C3,MLLT11,0.44,0.12
C3,OLFM3,0.57,0.141
C3,ATP1A2,0.655,0.311
C3,CDO1,0.505,0.01
C3,RSPO3,0.648,0.296
C3,PAX6,0.592,0.184
C3,SDK2,0.657,0.313
C3,ITGA6,0.649,0.298
C3,GPR98,0.587,0.174
C3,RFX4,0.671,0.343
C3,EDNRB,0.589,0.177
C3,NTRK2,0.628,0.256
C3,RSPO2,0.602,0.204
C3,TMEM47,0.561,0.121
C3,CLU,0.672,0.343
C3,ADCY2,0.55,0.101
C3,GAS2L3,0.533,0.066
C3,NEK2,0.608,0.216
C3,KIF20A,0.603,0.207
C3,PIF1,0.471,0.059
C3,NDE1,0.528,0.056
C3,CEP55,0.53,0.06
C3,FAM72B,0.518,0.036
C3,KIF14,0.716,0.432
C3,GTSE1,0.586,0.172
C3,SGOL2,0.607,0.214
C3,CCNF,0.556,0.111
C3,FAM72A,0.47,0.061
C3,CCNB2,0.646,0.292
C3,CDCA8,0.662,0.323
C3,CDCA3,0.611,0.222
C3,BORA,0.523,0.046
C3,KIF4B,0.697,0.393
C3,CXXC4,0.633,0.265
C3,CDCA2,0.599,0.197
C3,BUB1,0.637,0.274
C3,ARHGAP11B,0.568,0.137
C3,CDC25B,0.431,0.137
C3,KIF2C,0.682,0.364
C3,GPSM2,0.571,0.142
C3,NUF2,0.6,0.2
C3,HMMR,0.603,0.205
C3,CENPE,0.635,0.269
C3,CDC25C,0.738,0.476
C3,EFNB2,0.484,0.031
C3,CNTNAP2,0.694,0.388
C3,DTL,0.784,0.568
C3,WDR76,0.672,0.344
C3,NME1,0.672,0.345
C3,FABP5,0.591,0.182
C3,MCM3,0.792,0.585
C3,PPIA,0.775,0.549
C3,NGFRAP1,0.574,0.149
C3,ANLN,0.693,0.386
C3,KIF23,0.687,0.374
C3,PBK,0.714,0.427
C3,RAD21,0.623,0.245
C3,NUBP2,0.558,0.116
C3,FLYWCH2,0.441,0.118
C3,RCN3,0.47,0.06
C3,C19orf60,0.495,0.01
C3,TTYH3,0.493,0.013
C3,AP2S1,0.57,0.139
C3,MRPL12,0.551,0.102
C3,DRAP1,0.538,0.077
C3,C9orf142,0.539,0.079
C3,GPAA1,0.519,0.038
C3,LAMA4,0.473,0.054
C3,IER2,0.454,0.092
C3,ALKBH7,0.477,0.045
C3,BAD,0.388,0.223
C3,C20orf27,0.543,0.086
C3,CTSD,0.425,0.15
C3,H2AFY2,0.525,0.05
C3,MCM2,0.602,0.205
C3,TUBB3,0.441,0.117
C3,MRPL41,0.487,0.027
C3,UNG,0.62,0.24
C3,EIF3F,0.397,0.205
C3,FLNA,0.527,0.054
C3,PDLIM7,0.548,0.097
C3,PCBP4,0.487,0.025
C3,MRPS26,0.42,0.161
C3,JUNB,0.426,0.148
C3,DBN1,0.426,0.148
C3,SNRPB,0.573,0.146
C3,MZT2B,0.557,0.115
C3,FAM195B,0.445,0.11
C3,C7orf50,0.484,0.032
C3,CYB5R3,0.5,0.0
C3,CCND1,0.637,0.274
C3,C9orf16,0.392,0.215
C3,PFN1,0.503,0.006
C3,LIMD2,0.46,0.081
C3,COPE,0.431,0.138
C3,SCAND1,0.441,0.118
C3,CCDC124,0.459,0.083
C3,POTEE,0.504,0.008
C3,POTEJ,0.497,0.006
C3,MEIS1,0.625,0.249
C3,ZFHX3,0.688,0.377
C3,SRSF6,0.347,0.305
C3,DERA,0.691,0.383
C3,CLSPN,0.831,0.661
C3,UHRF1,0.775,0.549
C3,EBF3,0.482,0.037
C3,S100B,0.513,0.026
C3,CCDC30,0.551,0.103
C3,MLF2,0.446,0.108
C3,PPP1R10,0.516,0.033
C3,ARF1,0.522,0.045
C3,TRMT112,0.587,0.174
C3,APOL2,0.565,0.13
C3,NDUFS8,0.54,0.079
C3,MAP1LC3B2,0.45,0.099
C3,HK2,0.569,0.139
C3,WLS,0.667,0.334
C3,ATPIF1,0.552,0.104
C3,CIB1,0.487,0.025
C3,PGAM1,0.47,0.06
C3,CALM3,0.511,0.022
C3,TTYH1,0.52,0.041
C3,PKM,0.709,0.418
C3,BNIP3,0.462,0.076
C3,CDKN1A,0.491,0.017
C3,ALDOA,0.44,0.12
C3,SNAPC1,0.621,0.242
C3,WNT8B,0.598,0.197
C3,UQCR11,0.555,0.11
C3,PGK1,0.548,0.095
C3,TPBG,0.681,0.362
C3,SCD,0.529,0.059
C3,GUK1,0.448,0.105
C3,ATP1B2,0.47,0.061
C3,ZIC2,0.725,0.449
C3,PIFO,0.586,0.172
C3,UBBP4,0.505,0.01
C3,MAF,0.702,0.404
C3,CTGF,0.548,0.097
C3,GJA1,0.617,0.234
C3,MYL6,0.7,0.4
C3,NELL2,0.698,0.395
C3,ID3,0.614,0.228
C3,LPHN3,0.649,0.299
C3,IRS1,0.542,0.084
C3,C1orf168,0.522,0.043
C3,CTNNB1,0.683,0.366
C3,AXIN2,0.621,0.243
C3,SLIT2,0.579,0.159
C3,LRRN2,0.473,0.055
C3,NR2F2,0.559,0.119
C3,SLIT3,0.564,0.127
C3,DMD,0.622,0.243
C3,LRRIQ1,0.564,0.128
C3,SH3BGRL,0.595,0.189
C3,C6orf118,0.559,0.118
C3,COX6A1,0.697,0.394
C3,SPARC,0.654,0.308
C3,RSPO1,0.724,0.448
C3,HNRNPL,0.712,0.424
C3,APCDD1,0.603,0.206
C3,MARCKS,0.364,0.272
C3,HSBP1,0.637,0.274
C3,SULF2,0.493,0.014
C3,SLC7A8,0.578,0.155
C3,NR2F1,0.526,0.053
C3,CDH2,0.716,0.431
C3,CDK11A,0.523,0.047
C3,AEN,0.56,0.119
C3,DDIT4,0.521,0.042
C3,ERO1L,0.471,0.058
C3,EIF4EBP1,0.554,0.109
C3,ADM,0.515,0.029
C3,PGAM4,0.45,0.101
C3,GNL3,0.557,0.113
C3,FLRT2,0.473,0.053
C3,PDCD6,0.478,0.045
C3,GOLGA8A,0.563,0.127
C3,POLE2,0.668,0.336
C3,EIF4A1,0.616,0.231
C3,MFNG,0.505,0.01
C3,TPI1,0.542,0.084
C3,RAN,0.726,0.452
C3,DDIT3,0.469,0.063
C3,VEZF1,0.655,0.31
C3,UBE2J1,0.47,0.06
C3,C8orf46,0.526,0.052
C3,EGR1,0.501,0.001
C3,TMBIM6,0.632,0.264
C3,TRIM24,0.498,0.004
C3,HNRNPA1L2,0.729,0.457
C3,KANSL2,0.585,0.171
C3,GTF2I,0.437,0.126
C3,DAZAP2,0.544,0.088
C3,MIDN,0.458,0.084
C3,SLC38A2,0.416,0.168
C3,HNRNPA1,0.694,0.388
C3,CCT2,0.633,0.265
C3,NACA,0.643,0.286
C3,EIF5,0.548,0.096
C3,CHAC1,0.484,0.032
C3,DDX3X,0.538,0.075
C3,TCF12,0.582,0.164
C3,SRSF3,0.548,0.097
C3,ABCC9,0.53,0.059
C3,EPB41L4B,0.585,0.171
C3,ATF4,0.519,0.039
C3,NOVA2,0.543,0.086
C3,PCBP2,0.571,0.141
C3,EIF1,0.47,0.06
C3,ATP5G2,0.706,0.411
C3,ATP5B,0.504,0.008
C3,RND3,0.465,0.069
C3,BTG1,0.512,0.024
C3,RBM39,0.447,0.107
C3,DDX5,0.451,0.098
C3,CORO1C,0.508,0.016
C3,UBC,0.493,0.013
C3,H3F3B,0.356,0.288
C3,H3F3C,0.443,0.115
C4,MYT1L,0.812,0.624
C4,STMN2,0.834,0.668
C4,HMP19,0.748,0.497
C4,SCN2A,0.731,0.463
C4,GRIA2,0.675,0.351
C4,GAP43,0.745,0.491
C4,RUNX1T1,0.772,0.545
C4,NRXN1,0.698,0.395
C4,RTN1,0.699,0.397
C4,NEUROD6,0.4,0.201
C4,SCN3B,0.699,0.399
C4,RAB3A,0.716,0.431
C4,GABBR2,0.609,0.218
C4,SNAP25,0.697,0.395
C4,KIF5A,0.771,0.541
C4,BCL11B,0.471,0.057
C4,ATAT1,0.626,0.252
C4,RALYL,0.651,0.302
C4,MKI67,0.231,0.538
C4,ECT2,0.214,0.572
C4,FANCD2,0.185,0.63
C4,RRM2,0.281,0.438
C4,SMC2,0.211,0.578
C4,CKS2,0.251,0.498
C4,SMC4,0.197,0.607
C4,BARD1,0.266,0.469
C4,TPX2,0.245,0.511
C4,RAD51AP1,0.25,0.499
C4,GMNN,0.255,0.489
C4,CENPN,0.25,0.5
C4,AURKB,0.279,0.442
C4,DLGAP5,0.274,0.451
C4,UBE2C,0.27,0.46
C4,TOP2A,0.184,0.632
C4,GNG5,0.222,0.556
C4,NDC80,0.28,0.439
C4,ASPM,0.213,0.574
C4,CENPK,0.259,0.482
C4,TRIM59,0.21,0.58
C4,MIS18BP1,0.223,0.555
C4,CDK1,0.231,0.539
C4,MAD2L1,0.228,0.544
C4,HMGN2,0.19,0.62
C4,CENPF,0.191,0.618
C4,BIRC5,0.242,0.516
C4,CENPU,0.232,0.535
C4,ANP32E,0.15,0.7
C4,NUSAP1,0.165,0.669
C4,CKS1B,0.204,0.592
C4,HMGB2,0.194,0.612
C4,TUBA1A,0.83,0.66
C4,CKB,0.547,0.093
C4,SOX11,0.664,0.328
C4,TUBB2B,0.685,0.371
C4,PTBP2,0.615,0.23
C4,DPYSL2,0.725,0.45
C4,MAP1B,0.732,0.463
C4,DCX,0.885,0.77
C4,P4HA2,0.394,0.212
C4,MMP2,0.429,0.141
C4,TIMP1,0.37,0.259
C4,KDELR3,0.433,0.134
C4,MGP,0.478,0.044
C4,FXYD5,0.437,0.126
C4,SDC4,0.351,0.299
C4,IFITM2,0.29,0.421
C4,PDGFRB,0.418,0.164
C4,PPIC,0.426,0.148
C4,IFITM3,0.148,0.703
C4,TGFBI,0.442,0.116
C4,TPM2,0.417,0.167
C4,FTL,0.502,0.004
C4,KRT8,0.445,0.11
C4,BNC2,0.485,0.03
C4,GXYLT2,0.407,0.187
C4,OLFML3,0.45,0.1
C4,MME,0.439,0.122
C4,RBMS3,0.456,0.089
C4,ANXA2,0.353,0.293
C4,LGALS1,0.369,0.263
C4,SERPINB9,0.458,0.084
C4,COL5A2,0.354,0.293
C4,COL21A1,0.443,0.113
C4,SNAI2,0.437,0.126
C4,S100A10,0.48,0.039
C4,HAS2,0.402,0.195
C4,PITX2,0.448,0.104
C4,CRISPLD2,0.462,0.076
C4,IFITM1,0.42,0.161
C4,DDR2,0.384,0.232
C4,POSTN,0.426,0.147
C4,COL5A1,0.418,0.164
C4,MFAP4,0.397,0.206
C4,COL6A3,0.436,0.127
C4,LUM,0.347,0.306
C4,COL1A2,0.389,0.222
C4,DCN,0.374,0.251
C4,COL1A1,0.363,0.274
C4,COL3A1,0.403,0.194
C4,S100A11,0.414,0.172
C4,MTRNR2L12,0.493,0.014
C4,NNAT,0.754,0.507
C4,PRTG,0.364,0.272
C4,BCAT1,0.313,0.374
C4,CXADR,0.777,0.553
C4,EZR,0.206,0.587
C4,NDUFA6,0.393,0.214
C4,MEGF10,0.32,0.36
C4,STK17B,0.291,0.419
C4,SYNE2,0.178,0.644
C4,CLIC1,0.268,0.465
C4,APOLD1,0.373,0.255
C4,POU3F3,0.462,0.075
C4,ID4,0.367,0.265
C4,CA12,0.392,0.216
C4,FHL2,0.374,0.252
C4,FABP7,0.268,0.463
C4,H2AFX,0.326,0.348
C4,MASP1,0.408,0.185
C4,KIAA1217,0.207,0.586
C4,NTRK3,0.344,0.312
C4,MEIS2,0.455,0.09
C4,CSNK2B,0.359,0.283
C4,SLC1A3,0.286,0.428
C4,SEMA5A,0.317,0.366
C4,NBPF14,0.177,0.646
C4,IL33,0.421,0.157
C4,DMRTA2,0.402,0.197
C4,NBPF10,0.195,0.609
C4,NDUFA3,0.414,0.172
C4,BCL11A,0.513,0.026
C4,DDX39B,0.497,0.006
C4,FOXG1,0.225,0.55
C4,SOX9,0.326,0.347
C4,LHX2,0.407,0.186
C4,TCF4,0.252,0.495
C4,DOK5,0.415,0.169
C4,MPPED2,0.33,0.339
C4,GLI3,0.151,0.698
C4,SFRP1,0.14,0.721
C4,HEY1,0.336,0.328
C4,HES1,0.131,0.738
C4,TFAP2C,0.287,0.426
C4,TUBB,0.463,0.074
C4,CREB5,0.166,0.668
C4,C1orf61,0.319,0.362
C4,IFI44L,0.341,0.319
C4,NFIA,0.229,0.543
C4,PHLDA1,0.425,0.15
C4,NFIB,0.234,0.532
C4,TMSB10,0.711,0.422
C4,CALM2,0.635,0.27
C4,CFL1,0.562,0.124
C4,TUBA1C,0.568,0.136
C4,STMN1,0.753,0.505
C4,ARL6IP1,0.432,0.135
C4,EIF5A,0.392,0.216
C4,KNSTRN,0.347,0.307
C4,YWHAZ,0.552,0.104
C4,ACTG1,0.564,0.127
C4,THY1,0.421,0.159
C4,PSRC1,0.335,0.33
C4,PLK1,0.318,0.364
C4,TUBB4B,0.379,0.242
C4,TUBB2A,0.724,0.448
C4,AURKA,0.344,0.312
C4,FTH1,0.642,0.284
C4,CCNA2,0.318,0.364
C4,CDC20,0.325,0.35
C4,PTMS,0.627,0.254
C4,HN1,0.651,0.301
C4,DYNLL1,0.455,0.09
C4,YWHAB,0.529,0.057
C4,TROAP,0.309,0.381
C4,CCNB1,0.255,0.489
C4,MLLT11,0.893,0.785
C4,OLFM3,0.461,0.079
C4,ATP1A2,0.384,0.231
C4,CDO1,0.449,0.102
C4,RSPO3,0.486,0.028
C4,PAX6,0.297,0.406
C4,SDK2,0.39,0.219
C4,ITGA6,0.363,0.274
C4,GPR98,0.378,0.244
C4,RFX4,0.351,0.299
C4,EDNRB,0.433,0.133
C4,NTRK2,0.524,0.047
C4,RSPO2,0.487,0.027
C4,TMEM47,0.252,0.496
C4,CLU,0.224,0.553
C4,ADCY2,0.467,0.065
C4,GAS2L3,0.335,0.329
C4,NEK2,0.32,0.359
C4,KIF20A,0.329,0.341
C4,PIF1,0.385,0.23
C4,NDE1,0.363,0.274
C4,CEP55,0.381,0.239
C4,FAM72B,0.437,0.126
C4,KIF14,0.298,0.403
C4,GTSE1,0.295,0.41
C4,SGOL2,0.31,0.38
C4,CCNF,0.338,0.324
C4,FAM72A,0.451,0.097
C4,CCNB2,0.281,0.438
C4,CDCA8,0.286,0.429
C4,CDCA3,0.354,0.291
C4,BORA,0.417,0.165
C4,KIF4B,0.314,0.372
C4,CXXC4,0.685,0.37
C4,CDCA2,0.293,0.414
C4,BUB1,0.277,0.445
C4,ARHGAP11B,0.366,0.267
C4,CDC25B,0.431,0.137
C4,KIF2C,0.283,0.434
C4,GPSM2,0.359,0.282
C4,NUF2,0.294,0.411
C4,HMMR,0.333,0.334
C4,CENPE,0.251,0.498
C4,CDC25C,0.309,0.382
C4,EFNB2,0.217,0.566
C4,CNTNAP2,0.411,0.177
C4,DTL,0.303,0.395
C4,WDR76,0.318,0.365
C4,NME1,0.415,0.17
C4,FABP5,0.318,0.365
C4,MCM3,0.218,0.564
C4,PPIA,0.342,0.315
C4,NGFRAP1,0.404,0.192
C4,ANLN,0.269,0.463
C4,KIF23,0.246,0.508
C4,PBK,0.284,0.433
C4,RAD21,0.327,0.345
C4,NUBP2,0.463,0.075
C4,FLYWCH2,0.598,0.196
C4,RCN3,0.474,0.052
C4,C19orf60,0.53,0.06
C4,TTYH3,0.427,0.146
C4,AP2S1,0.473,0.053
C4,MRPL12,0.491,0.018
C4,DRAP1,0.419,0.161
C4,C9orf142,0.446,0.109
C4,GPAA1,0.448,0.104
C4,LAMA4,0.466,0.069
C4,IER2,0.627,0.253
C4,ALKBH7,0.581,0.163
C4,BAD,0.484,0.031
C4,C20orf27,0.47,0.06
C4,CTSD,0.447,0.105
C4,H2AFY2,0.384,0.233
C4,MCM2,0.322,0.356
C4,TUBB3,0.822,0.645
C4,MRPL41,0.439,0.123
C4,UNG,0.422,0.155
C4,EIF3F,0.455,0.089
C4,FLNA,0.349,0.301
C4,PDLIM7,0.374,0.251
C4,PCBP4,0.646,0.291
C4,MRPS26,0.508,0.016
C4,JUNB,0.463,0.074
C4,DBN1,0.58,0.159
C4,SNRPB,0.345,0.31
C4,MZT2B,0.47,0.06
C4,FAM195B,0.442,0.117
C4,C7orf50,0.442,0.115
C4,CYB5R3,0.47,0.06
C4,CCND1,0.39,0.221
C4,C9orf16,0.613,0.226
C4,PFN1,0.37,0.26
C4,LIMD2,0.484,0.031
C4,COPE,0.481,0.039
C4,SCAND1,0.481,0.038
C4,CCDC124,0.483,0.034
C4,POTEE,0.554,0.109
C4,POTEJ,0.506,0.011
C4,MEIS1,0.553,0.106
C4,ZFHX3,0.729,0.459
C4,SRSF6,0.487,0.026
C4,DERA,0.325,0.349
C4,CLSPN,0.27,0.459
C4,UHRF1,0.248,0.503
C4,EBF3,0.751,0.501
C4,S100B,0.484,0.032
C4,CCDC30,0.481,0.038
C4,MLF2,0.574,0.148
C4,PPP1R10,0.391,0.219
C4,ARF1,0.417,0.165
C4,TRMT112,0.287,0.426
C4,APOL2,0.357,0.285
C4,NDUFS8,0.398,0.204
C4,MAP1LC3B2,0.543,0.085
C4,HK2,0.426,0.149
C4,WLS,0.463,0.075
C4,ATPIF1,0.483,0.033
C4,CIB1,0.385,0.231
C4,PGAM1,0.375,0.25
C4,CALM3,0.451,0.097
C4,TTYH1,0.278,0.443
C4,PKM,0.306,0.389
C4,BNIP3,0.433,0.133
C4,CDKN1A,0.549,0.099
C4,ALDOA,0.397,0.205
C4,SNAPC1,0.401,0.197
C4,WNT8B,0.448,0.105
C4,UQCR11,0.43,0.141
C4,PGK1,0.404,0.192
C4,TPBG,0.374,0.252
C4,SCD,0.337,0.326
C4,GUK1,0.432,0.136
C4,ATP1B2,0.399,0.203
C4,ZIC2,0.358,0.283
C4,PIFO,0.443,0.115
C4,UBBP4,0.465,0.071
C4,MAF,0.365,0.269
C4,CTGF,0.401,0.197
C4,GJA1,0.329,0.343
C4,MYL6,0.519,0.037
C4,NELL2,0.513,0.026
C4,ID3,0.342,0.315
C4,LPHN3,0.668,0.336
C4,IRS1,0.402,0.196
C4,C1orf168,0.447,0.107
C4,CTNNB1,0.425,0.15
C4,AXIN2,0.463,0.074
C4,SLIT2,0.363,0.275
C4,LRRN2,0.483,0.034
C4,NR2F2,0.699,0.398
C4,SLIT3,0.446,0.108
C4,DMD,0.524,0.048
C4,LRRIQ1,0.456,0.087
C4,SH3BGRL,0.297,0.406
C4,C6orf118,0.417,0.165
C4,COX6A1,0.476,0.049
C4,SPARC,0.164,0.673
C4,RSPO1,0.421,0.158
C4,HNRNPL,0.406,0.187
C4,APCDD1,0.433,0.134
C4,MARCKS,0.623,0.245
C4,HSBP1,0.465,0.071
C4,SULF2,0.497,0.005
C4,SLC7A8,0.466,0.068
C4,NR2F1,0.592,0.183
C4,CDH2,0.383,0.233
C4,CDK11A,0.479,0.042
C4,AEN,0.385,0.229
C4,DDIT4,0.503,0.007
C4,ERO1L,0.471,0.058
C4,EIF4EBP1,0.377,0.246
C4,ADM,0.46,0.081
C4,PGAM4,0.459,0.083
C4,GNL3,0.33,0.34
C4,FLRT2,0.342,0.315
C4,PDCD6,0.432,0.135
C4,GOLGA8A,0.487,0.026
C4,POLE2,0.345,0.309
C4,EIF4A1,0.482,0.036
C4,MFNG,0.53,0.06
C4,TPI1,0.46,0.08
C4,RAN,0.273,0.455
C4,DDIT3,0.488,0.023
C4,VEZF1,0.452,0.096
C4,UBE2J1,0.534,0.067
C4,C8orf46,0.52,0.039
C4,EGR1,0.524,0.049
C4,TMBIM6,0.299,0.403
C4,TRIM24,0.474,0.052
C4,HNRNPA1L2,0.362,0.276
C4,KANSL2,0.474,0.052
C4,GTF2I,0.549,0.099
C4,DAZAP2,0.446,0.108
C4,MIDN,0.61,0.22
C4,SLC38A2,0.486,0.028
C4,HNRNPA1,0.281,0.438
C4,CCT2,0.503,0.007
C4,NACA,0.356,0.288
C4,EIF5,0.528,0.056
C4,CHAC1,0.474,0.053
C4,DDX3X,0.425,0.15
C4,TCF12,0.518,0.035
C4,SRSF3,0.575,0.149
C4,ABCC9,0.51,0.019
C4,EPB41L4B,0.54,0.079
C4,ATF4,0.487,0.025
C4,NOVA2,0.641,0.282
C4,PCBP2,0.512,0.024
C4,EIF1,0.576,0.152
C4,ATP5G2,0.399,0.202
C4,ATP5B,0.512,0.024
C4,RND3,0.47,0.06
C4,BTG1,0.577,0.155
C4,RBM39,0.474,0.053
C4,DDX5,0.63,0.26
C4,CORO1C,0.603,0.205
C4,UBC,0.647,0.295
C4,H3F3B,0.687,0.374
C4,H3F3C,0.662,0.323
C5,MYT1L,0.376,0.248
C5,STMN2,0.477,0.045
C5,HMP19,0.436,0.129
C5,SCN2A,0.536,0.073
C5,GRIA2,0.398,0.203
C5,GAP43,0.577,0.154
C5,RUNX1T1,0.46,0.081
C5,NRXN1,0.406,0.189
C5,RTN1,0.482,0.035
C5,NEUROD6,0.406,0.187
C5,SCN3B,0.468,0.064
C5,RAB3A,0.45,0.101
C5,GABBR2,0.471,0.057
C5,SNAP25,0.421,0.158
C5,KIF5A,0.499,0.001
C5,BCL11B,0.523,0.046
C5,ATAT1,0.5,0.001
C5,RALYL,0.434,0.132
C5,MKI67,0.337,0.325
C5,ECT2,0.417,0.165
C5,FANCD2,0.399,0.201
C5,RRM2,0.362,0.275
C5,SMC2,0.332,0.336
C5,CKS2,0.35,0.3
C5,SMC4,0.343,0.315
C5,BARD1,0.508,0.016
C5,TPX2,0.324,0.351
C5,RAD51AP1,0.36,0.28
C5,GMNN,0.389,0.221
C5,CENPN,0.292,0.417
C5,AURKB,0.322,0.356
C5,DLGAP5,0.384,0.231
C5,UBE2C,0.337,0.326
C5,TOP2A,0.301,0.398
C5,GNG5,0.574,0.148
C5,NDC80,0.341,0.319
C5,ASPM,0.371,0.257
C5,CENPK,0.359,0.281
C5,TRIM59,0.362,0.277
C5,MIS18BP1,0.306,0.388
C5,CDK1,0.329,0.342
C5,MAD2L1,0.353,0.294
C5,HMGN2,0.389,0.223
C5,CENPF,0.301,0.399
C5,BIRC5,0.347,0.306
C5,CENPU,0.367,0.266
C5,ANP32E,0.46,0.08
C5,NUSAP1,0.311,0.378
C5,CKS1B,0.325,0.349
C5,HMGB2,0.352,0.296
C5,TUBA1A,0.516,0.031
C5,CKB,0.268,0.464
C5,SOX11,0.421,0.158
C5,TUBB2B,0.515,0.03
C5,PTBP2,0.501,0.002
C5,DPYSL2,0.315,0.37
C5,MAP1B,0.441,0.118
C5,DCX,0.448,0.104
C5,P4HA2,0.561,0.122
C5,MMP2,0.435,0.13
C5,TIMP1,0.513,0.025
C5,KDELR3,0.472,0.055
C5,MGP,0.473,0.054
C5,FXYD5,0.473,0.055
C5,SDC4,0.537,0.074
C5,IFITM2,0.728,0.455
C5,PDGFRB,0.542,0.085
C5,PPIC,0.592,0.184
C5,IFITM3,0.776,0.553
C5,TGFBI,0.436,0.129
C5,TPM2,0.46,0.081
C5,FTL,0.56,0.119
C5,KRT8,0.5,0.0
C5,BNC2,0.492,0.016
C5,GXYLT2,0.575,0.151
C5,OLFML3,0.496,0.007
C5,MME,0.415,0.171
C5,RBMS3,0.607,0.213
C5,ANXA2,0.619,0.238
C5,LGALS1,0.529,0.058
C5,SERPINB9,0.427,0.146
C5,COL5A2,0.539,0.078
C5,COL21A1,0.49,0.02
C5,SNAI2,0.486,0.028
C5,S100A10,0.495,0.01
C5,HAS2,0.478,0.045
C5,PITX2,0.467,0.067
C5,CRISPLD2,0.471,0.058
