Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage,tissue,create_date,version
SRR2967719,RNA-Seq,200,323970200,PRJNA304502,SAMN04304429,242478008,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457165,GSM1957700,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957700,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:17:00Z,1
SRR2967720,RNA-Seq,200,258478200,PRJNA304502,SAMN04304430,189054078,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457166,GSM1957701,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957701,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:17:00Z,1
SRR2967721,RNA-Seq,200,263735000,PRJNA304502,SAMN04304431,197392682,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457167,GSM1957702,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957702,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
SRR2967722,RNA-Seq,200,259762400,PRJNA304502,SAMN04304432,195521280,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457168,GSM1957703,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957703,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:21:00Z,1
SRR2967723,RNA-Seq,200,251098000,PRJNA304502,SAMN04304433,187109510,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457169,GSM1957704,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957704,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967724,RNA-Seq,200,242864800,PRJNA304502,SAMN04304434,183891111,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457170,GSM1957705,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957705,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967725,RNA-Seq,200,194937200,PRJNA304502,SAMN04304435,146348306,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457171,GSM1957706,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957706,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967726,RNA-Seq,200,216617400,PRJNA304502,SAMN04304436,162891928,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457172,GSM1957707,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957707,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967727,RNA-Seq,200,151789800,PRJNA304502,SAMN04304317,113601046,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457173,GSM1957708,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957708,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
SRR2967728,RNA-Seq,200,311821000,PRJNA304502,SAMN04304318,230787445,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1457174,GSM1957709,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-12-07T00:00:00Z,GSM1957709,fetal human cortex 1,SRP066834,12 weeks post-conception,Fetal neocortex,2015-12-01T09:20:00Z,1
